着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		6	---	5	000a01ba0b	牡	3			57	113.62	0.0			a0313	a0422	a0028e	0.0	2021FJa00101
2		5	---	2	000a01ba58	牡	3			57					a034f	a033e	a00297	0.0	2021FJa00101
3		3	---	1	000a01ba92	牡	3			57					05033	a033c	a00294	0.0	2021FJa00101
4		2	---	8	000a01ba74	牡	3			57					a049d	a0425	a00298	0.0	2021FJa00101
5		4	---	4	000a01ba09	牡	3			57					05415	a0328	a0028d	0.0	2021FJa00101
6		8	---	6	000a01baae	牡	3			57					a0383	a0331	a0029f	0.0	2021FJa00101
7		7	---	10	2018110117	牡	3			57					a02ba	00427	366031	0.0	2021FJa00101
8		9	---	7	000a01baab	牡	3			57					a0361	a0328	a0028d	0.0	2021FJa00101
9		10	---	3	000a01b8e3	牡	3			57					05007	a033c	a00106	0.0	2021FJa00101
10		1	---	9	000a01bab2	牡	3			57					a039e	a039d	a002a0	0.0	2021FJa00101
