着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		7	---	7	2018104234	牡	3			57.0	98.57	0.0			5386	00427	695008	0.0	2021P0a00106
4		8	---	1	000a01babc	セ	3			57.0					5495	a030d	242800	0.0	2021P0a00106
5		13	---	1	000a01a979	牝	3			55.0					5007	05016	242800	0.0	2021P0a00106
1		2	---	5	2015110078	セ	6			57.0	70.66	0.0			05495	01107	966007	0.0	2021P0a00107
2		6	---	1	2014110060	牡	7			57.0					05386	00427	265033	0.0	2021P0a00107
4		13	---	5	000a01445d	セ	7			57.0					05504	05500	a00246	0.0	2021P0a00107
6		5	---	3	2016102781	牡	5			57.0					01163	01075	268008	0.0	2021P0a00107
7		9	---	2	000a01b4c0	セ	5			57.0					a040e	a0307	a00235	0.0	2021P0a00107
11		8	---	4	000a015967	牡	6			57.0					00875	a040b	a001d9	0.0	2021P0a00107
1		11	---	3	000a018fc0	牡	4			57.0	109.59	0.0			a03f9	00970	a0023e	0.0	2021P0a00108
2		3	---	2	000a0185b6	牡	4			57.0					05007	a033c	a0022b	0.0	2021P0a00108
3		7	---	11	000a015957	セ	5			57.0					a0417	a0411	a001d9	0.0	2021P0a00108
4		8	---	1	000a0145ac	牡	5			57.0					a02ba	a03c1	a0022d	0.0	2021P0a00108
5		13	---	11	000a01b826	牡	5			57.0					a0418	a040f	a0024f	0.0	2021P0a00108
6		10	---	7	000a0157f9	セ	6			57.0					a038b	a0341	a001e1	0.0	2021P0a00108
7		14	---	4	000a014576	牡	5			57.0					05495	00982	920800	0.0	2021P0a00108
8		2	---	8	000a014656	牡	5			57.0					05366	05519	a00144	0.0	2021P0a00108
9		4	---	5	2015104879	牡	6			57.0					05386	01058	628007	0.0	2021P0a00108
11		9	---	10	000a01b8a8	牡	4			57.0					05504	a033e	a00262	0.0	2021P0a00108
14		12	---	11	000a01b8ea	セ	5			57.2					05518	a03a6	a00115	0.0	2021P0a00108
