日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2021/11/03	晴	12	12	5	5	170.6	10	11	55.0	重	1:50.7	4.7	1-1-1-4	0.0-39.0	43.7	門別	202130110312	オルフェーヴル・プレ	movie.html?race_id=202130110312	05545	山本咲希	ダ	1700	498	-4	0.0
2021/10/21	曇	11	10	3	3	25.3	7	9	55.0	不	1:14.1	1.9	2-3	0.0-37.5	39.3	門別	202130102111	静内産米万馬券特別	movie.html?race_id=202130102111	05545	山本咲希	ダ	1200	502	2	0.0
2021/09/09	曇	11	12	6	7	47.8	9	8	55.0	不	1:12.7	1.3	7-5	0.0-36.8	37.6	門別	202130090911	ホクレン「拓くぞ!未	movie.html?race_id=202130090911	05578	落合玄太	ダ	1200	500	-4	0.0
2021/08/12	晴	10	12	5	6	20.3	6	8	55.0	稍	1:13.3	1.4	9-7	0.0-37.2	37.8	門別	202130081210	競馬ほのぼの観戦ツア	movie.html?race_id=202130081210	05578	落合玄太	ダ	1200	504	-6	0.0
2021/07/14	曇	12	9	7	7	14.1	5	9	55.0	稍	1:59.0	2.5	4-4-3-4	0.0-41.8	44.2	門別	202130071412	登別ブランド特別	movie.html?race_id=202130071412	05286	服部茂史	ダ	1800	510	18	0.0
2021/05/16	雨	11	14	8	14	107.0	14	14	57.0	稍	1:51.0	3.0	1-1	36.7-34.8	37.8	新潟	202104020411	弥彦S(3勝クラス)	202104020411	01147	城戸義政	芝	1800	492	-6	0.0
2021/04/18	曇	10	15	7	12	170.5	15	14	57.0	稍	1:22.6	2.4	12-13	33.7-35.4	36.3	阪神	202109020810	心斎橋S(3勝クラス)	202109020810	01125	国分優作	芝	1400	498	2	0.0
2021/03/06	曇	10	16	3	5	118.2	12	12	57.0	稍	1:25.7	2.3	13-13	33.8-37.8	38.5	阪神	202109010710	播磨S(3勝クラス)	202109010710	01141	中井裕二	ダ	1400	496	-4	0.0
2021/02/07	曇	10	9	8	9	38.9	8	9	57.0	良	1:37.7	0.9	3-3-2	36.8-34.4	35.1	中京	202107011210	トリトンS(3勝クラス)	202107011210	01125	国分優作	芝	1600	500	-2	0.0
2021/01/16	晴	11	14	1	1	27.7	8	14	57.0	良	1:49.2	3.0	2-1-1-9	34.1-35.9	38.9	小倉	202110010111	虹の松原S(3勝クラス)	202110010111	01115	浜中俊	芝	1800	502	0	0.0
2020/12/20	晴	9	18	7	14	86.5	17	17	54.0	良	1:34.6	2.0	1-1	33.9-35.5	37.5	阪神	202009060609	サンタクロースH(3勝クラス)	202009060609	00660	横山典弘	芝	1600	502	2	0.0
2020/05/09	曇	10	13	8	12	25.3	10	13	54.0	良	1:35.3	1.4	12-12	35.1-34.3	34.2	京都	202008030510	錦S(3勝クラス)	202008030510	01156	加藤祥太	芝	1600	500	8	0.0
2020/03/22	晴	9	9	8	8	74.4	7	1	57.0	良	1:46.1	0.0	1-1	35.9-35.3	35.3	阪神	202009010909	須磨特別(2勝クラス)	202009010909	01156	加藤祥太	芝	1800	492	-6	1521.7
2019/11/24	晴	4	13	5	7	3.0	1	6	60.0	良	3:19.9	5.5	2-2-4-4	109.0-41.4	13.7	京都	201908050804	障害3歳以上未勝利	201908050804	01067	平沢健治	障	2910	498	8	0.0
2019/10/19	曇	1	14	5	8	5.4	3	3	60.0	良	3:07.6	0.4	1-1-1-1	104.0-38.1	13.2	新潟	201904030301	障害3歳以上未勝利	201904030301	01067	平沢健治	障	2850	490	2	200.0
