日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/01/23	曇	11	14	6	10	15.9	5	10	56.0	良	2:13.6	0.9	8-8-7-6	36.5-35.7	36.1	中山	202206010811	アメリカジョッキーC(G2)	202206010811	05386	芝	2200	470	8	0.0
2021/12/11	曇	11	18	3	5	8.6	5	9	57.0	良	2:00.4	0.6	10-8-9-11	36.5-35.0	34.7	中京	202107060311	中日新聞杯(G3)	202107060311	01122	芝	2000	462	0	0.0
2021/10/31	曇	11	16	6	12	190.4	14	8	58.0	良	1:58.9	1.0	7-10-11	36.2-33.6	33.6	東京	202105040811	天皇賞(秋)(G1)	202105040811	01122	芝	2000	462	-6	0.0
2021/10/10	晴	11	13	3	3	40.0	11	13	56.0	良	1:46.1	1.3	7-8-8	34.8-34.6	34.6	東京	202105040211	毎日王冠(G2)	202105040211	01122	芝	1800	468	6	0.0
2021/03/27	晴	11	15	7	13	7.9	3	8	56.0	良	2:34.2	0.9	13-13-13-14	31.0-34.9	34.7	中山	202106030111	日経賞(G2)	202106030111	01122	芝	2500	462	0	0.0
2021/01/24	曇	11	17	4	8	14.7	6	3	56.0	不	2:18.0	0.1	9-11-9-8	38.0-37.9	37.0	中山	202106010811	アメリカジョッキーC(G2)	202106010811	01122	芝	2200	462	0	1617.0
2020/11/08	曇	11	18	1	2	22.9	6	2	56.0	良	2:31.8	0.2	7-8-7-9	29.7-34.9	34.2	東京	202005050211	アルゼンチン共和国杯(G2)	202005050211	05386	芝	2500	462	-4	2336.4
2020/09/19	晴	11	16	6	12	3.8	2	8	57.0	良	2:00.0	1.3	3-3-4-5	35.9-36.3	37.2	中京	202007020311	ケフェウスS(OP)	202007020311	01088	芝	2000	466	6	0.0
2020/03/15	晴	11	12	2	2	11.4	3	5	56.0	良	2:02.1	0.5	6-7-6-6	37.9-33.8	33.5	中京	202007010611	金鯱賞(G2)	202007010611	01095	芝	2000	460	-4	670.0
2020/01/26	曇	11	12	2	2	6.8	4	3	55.0	稍	2:15.5	0.5	7-8-7-8	37.7-36.7	36.3	中山	202006010911	アメリカジョッキーC(G2)	202006010911	05575	芝	2200	464	6	1612.2
2019/12/07	曇	11	16	5	9	6.8	3	2	55.0	良	1:59.2	0.0	6-6-8-8	36.0-34.5	33.8	中京	201907040311	中日新聞杯(G3)	201907040311	05575	芝	2000	458	0	1616.0
2019/10/21	曇	11	13	7	10	3.1	1	8	54.0	良	1:59.9	0.7	11-11-10	37.3-33.8	33.6	東京	201905040411	オクトーバーS(L)	201905040411	05339	芝	2000	458	6	0.0
2019/04/14	曇	11	18	6	11	67.8	10	7	57.0	良	1:59.0	0.9	9-10-10-10	34.8-34.7	34.8	中山	201906030811	皐月賞(G1)	201906030811	05115	芝	2000	452	0	0.0
2019/03/03	雨	11	10	1	1	2.9	2	7	56.0	重	2:04.0	0.7	1-1-1-1	36.9-37.0	37.7	中山	201906020411	報知杯弥生賞(G2)	201906020411	01075	芝	2000	452	-4	0.0
2019/01/14	晴	11	12	6	7	5.1	4	1	56.0	良	2:01.2	-0.2	2-2-2-1	36.2-35.3	35.3	中山	201906010511	京成杯(G3)	201906010511	05339	芝	2000	456	2	3842.7
2018/11/25	晴	4	11	2	2	2.5	1	1	55.0	良	1:49.6	0.0	5-5-5	37.7-33.5	33.1	東京	201805050804	2歳新馬	201805050804	05339	芝	1800	454	0	700.0
