waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2018102700	キサツタイ			05563	櫻井光輔	05465	田辺陽一	453	-1
2	2	2018106065	テンペスタース			05000	酒井忍	05648	斉藤敏	467	13
3	3	2018106206	ミーティアカフェ			05524	笹川翼	a01cf	箕輪武	468	-10
4	4	2018106145	アコルダール			05399	和田譲治	05628	山中尊徳	454	19
5	5	2018103275	ハクサンクラーケン			a0247	川島正太	a000d	森始	463	-6
6	6	2018102581						05331	山崎尋美	54	
6	7	2018102370	モリデンリハク			05443	本田正重	05489	坂本昇	485	1
7	8	2018103047	アミスタ			05342	森泰斗	05648	斉藤敏	475	6
7	9	2018106257	セイウンブイワン			05561	赤津和希	a02a5	冨田敏男	443	3
8	10	2018104781	ブッカープライズ			05380	矢野貴之	05713	山田信大	449	-4
8	11	2018100578	ブルーグリッター			a041d	篠谷葵	05208	岡林光浩	472	24
