rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	4		ジョーパティオ	牝5	55.0		吉村智洋	1:32.8		4-4-2-2	40.7	2.6	1	466	9		南弘樹		仲辻正貴	60.0
2	5	5		ハルシオンデイズ	牡6	56.0		廣瀬航	1:32.9	1/2	1-1-1-1	41.0	13.7	6	459	1		諏訪貴正		西尾聖	24.0
3	7	7		クレスコロッキー	牡4	56.0		杉浦健太	1:32.9	アタマ	7-7-5-3	40.3	4.8	2	530	8		玉垣光章		堀川三郎	15.0
4	1	1		サンエルサ	牝4	52.0		長尾翼玖	1:33.1	1.1/2	8-8-8-7	40.4	8.6	5	414	10		松浦聡志		諸岡慶	9.0
5	6	6		マッサンゴールド	牡9	56.0		板野央	1:33.4	1.3/4	5-5-7-6	41.1	22.3	7	481	3		茂崎正善		小橋亮太	6.0
6	2	2		シーシップ	牝5	54.0		山田雄大	1:33.9	3.0	9-9-9-9	40.9	179.7	10	473	-3		尾原強		鳥飼義壽	
7	8	9		ハイラブサイエンス	牡4	56.0		下原理	1:34.2	1.3/4	3-2-2-4	42.1	5.2	4	467	12		保利良次		服部新平	
8	8	10		ラベンデュラン	牡7	56.0		小谷周平	1:34.5	1.3/4	6-6-6-8	42.2	32.1	8	457	0		溝橋利喜		組）オールザベスト組	
9	7	8		ヴィクトリアグラス	牝5	55.0		中田貴士	1:34.9	2.1/2	2-2-4-4	42.8	5.1	3	411	2		坂本和也		村田紀次	
10	3	3		クレイヴソリッシュ	牡10	56.0		高畑皓一	1:35.2	1.1/2	10-10-10-10	41.5	175.4	9	492	3		山口浩幸		冨田藤男	
